@relation 'MassHousingTrainData-weka.filters.unsupervised.attribute.Remove-R9,10,20-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AddClassification-classification-distribution-error-Wweka.classifiers.lazy.IBk -K 7 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"-weka.filters.unsupervised.attribute.Remove-R2-6,9-17,19-last'

@attribute rm_key numeric
@attribute Stmt_date {6/30/1995,12/31/1995,12/31/1996,6/30/1997,12/31/1997,6/30/1998,12/31/1998,6/30/1999,12/15/1999,12/31/1999,6/30/2000,12/31/2000,6/30/2001,12/13/2001,12/31/2001,6/30/2002,12/31/2002,6/30/2003,9/30/2003,12/31/2003,6/30/2004,9/30/2004,12/13/2004,12/31/2004,6/30/2005,9/30/2005,12/31/2005,6/30/2006,9/30/2006,12/31/2006,6/30/2007,9/30/2007,12/13/2007,12/31/2007,6/30/2008,9/30/2008,12/31/2008,2/28/2009,6/30/2009,8/31/2009,9/30/2009,12/31/2009}
@attribute 'Financial Rating Letter Grade' {A,B,D,C,F}
@attribute classification {A,B,D,C,F}

@data
0.182261,12/13/2001,D,F
0.182261,12/31/2001,C,A
0.182261,6/30/2002,A,F
0.182261,12/31/2002,A,A
0.185185,12/31/1999,A,A
0.185185,12/31/1996,A,A
0.185185,6/30/1997,A,A
0.185185,12/31/1997,A,A
0.185185,6/30/1998,B,A
0.185185,12/31/1995,B,A
0.185185,12/31/1998,B,A
0.185185,6/30/1999,B,A
0.188109,6/30/1997,A,A
0.188109,12/31/1997,A,A
0.188109,6/30/1998,B,A
0.188109,12/31/1995,A,A
0.188109,12/31/1998,A,A
0.188109,6/30/1999,A,A
0.189084,12/31/1996,A,A
0.189084,6/30/1997,A,A
0.189084,12/31/1997,A,A
0.189084,6/30/1998,A,A
0.189084,12/31/1995,A,A
0.189084,12/31/1998,A,A
0.189084,6/30/1999,A,A
0.193957,12/31/2001,A,A
0.193957,6/30/2002,A,A
0.193957,12/31/2002,A,A
0.19883,12/31/2004,A,A
0.19883,6/30/2005,A,A
0.19883,9/30/2005,A,A
0.19883,12/31/2005,A,A
0.19883,6/30/2006,A,A
0.19883,9/30/2006,A,A
0.199805,6/30/1998,A,A
0.199805,12/31/1995,D,A
0.199805,12/31/1998,A,A
0.199805,6/30/1999,A,A
0.201754,12/31/1996,A,A
0.201754,6/30/1997,A,A
0.201754,12/31/1997,B,A
0.201754,6/30/1998,A,A
0.201754,12/31/1995,A,A
0.201754,12/31/1998,A,A
0.201754,6/30/1999,A,A
0.204678,12/31/1997,A,A
0.204678,6/30/1998,A,A
0.204678,12/31/1995,A,C
0.204678,12/31/1998,A,A
0.204678,6/30/1999,A,A
0.208577,12/31/1996,B,A
0.208577,12/31/2004,A,A
0.208577,12/31/1997,A,A
0.208577,9/30/2005,D,A
0.208577,12/31/2005,A,A
0.208577,6/30/2006,A,A
0.208577,9/30/2006,A,A
0.694932,12/31/2006,B,A
0.694932,6/30/2007,B,A
0.694932,9/30/2007,A,A
0.694932,12/13/2007,A,A
0.694932,12/31/2007,A,A
0.694932,6/30/2000,A,A
0.694932,12/15/1999,A,A
0.694932,6/30/1995,B,A
0.694932,12/31/1999,B,A
0.694932,12/31/1996,F,A
0.694932,6/30/1997,F,A
0.694932,12/31/1997,F,A
0.694932,6/30/1998,F,A
0.694932,12/31/1995,C,A
0.694932,12/31/1998,B,A
0.694932,6/30/1999,B,A
0.697856,12/31/2006,B,A
0.697856,6/30/2007,C,A
0.697856,9/30/2007,D,A
0.697856,12/13/2007,B,A
0.697856,12/31/2007,B,A
0.697856,6/30/2000,D,A
0.697856,12/15/1999,D,A
0.697856,6/30/1995,A,A
0.697856,12/31/1999,A,A
0.697856,12/31/1996,A,A
0.697856,6/30/1997,A,A
0.697856,12/31/1997,A,A
0.697856,6/30/1998,A,A
0.697856,12/31/1995,A,A
0.697856,12/31/1998,A,A
0.697856,6/30/1999,A,A
0.69883,12/31/2006,A,A
0.69883,6/30/2007,A,A
0.69883,9/30/2007,A,A
0.69883,12/13/2007,A,A
0.69883,12/31/2007,A,A
0.69883,6/30/2000,A,A
0.69883,12/15/1999,A,A
0.69883,6/30/1995,A,A
0.69883,12/31/1999,A,A
0.69883,12/31/1996,A,A
0.69883,6/30/1997,C,A
0.69883,12/31/1997,A,B
0.69883,6/30/1998,A,A
0.69883,12/31/1995,A,A
0.69883,12/31/1998,A,A
0.69883,6/30/1999,A,A
0.699805,12/31/2006,F,A
0.699805,6/30/2007,F,A
0.699805,9/30/2007,F,A
0.699805,12/13/2007,B,A
0.699805,12/31/2007,A,B
0.699805,6/30/2000,B,A
0.699805,12/15/1999,C,A
0.699805,6/30/1995,F,A
0.699805,12/31/1999,F,A
0.699805,12/31/1996,F,A
0.699805,6/30/1997,D,A
0.699805,12/31/1997,A,A
0.699805,6/30/1998,A,A
0.699805,12/31/1995,A,A
0.699805,12/31/1998,A,B
0.699805,6/30/1999,A,A
0.70078,12/31/2006,A,A
0.70078,6/30/2007,D,A
0.70078,9/30/2007,B,A
0.70078,12/13/2007,B,A
0.70078,12/31/2007,B,A
0.70078,6/30/2000,B,A
0.70078,12/15/1999,B,A
0.70078,6/30/1995,B,A
0.70078,12/31/1999,A,A
0.70078,12/31/1996,A,A
0.70078,6/30/1997,A,A
0.70078,12/31/1997,A,A
0.70078,6/30/1998,A,A
0.70078,12/31/1995,D,A
0.70078,12/31/1998,A,A
0.70078,6/30/1999,B,A
0.701754,12/31/2006,A,A
0.701754,6/30/2007,A,A
0.701754,9/30/2007,A,A
0.701754,12/13/2007,A,A
0.701754,12/31/2007,A,A
0.701754,6/30/2000,D,A
0.701754,12/15/1999,A,A
0.701754,6/30/1995,A,A
0.701754,12/31/1999,D,A
0.701754,12/31/1996,A,A
0.701754,6/30/1997,F,A
0.701754,12/31/1997,D,A
0.701754,6/30/1998,B,A
0.701754,12/31/1995,A,A
0.701754,12/31/1998,B,A
0.701754,6/30/1999,B,A
0.705653,12/31/2006,A,A
0.705653,6/30/2007,A,A
0.705653,9/30/2007,A,A
0.705653,12/13/2007,A,A
0.705653,12/31/2007,A,A
0.705653,6/30/2000,A,A
0.705653,12/15/1999,A,A
0.705653,6/30/1995,A,A
0.705653,12/31/1999,A,A
0.705653,12/31/1996,A,A
0.705653,6/30/1997,A,A
0.705653,12/31/1997,B,A
0.705653,6/30/1998,A,A
0.705653,12/31/1995,D,A
0.705653,12/31/1998,A,A
0.705653,6/30/1999,A,A
0.707602,12/31/2006,F,A
0.707602,6/30/2007,A,B
0.707602,9/30/2007,B,A
0.707602,12/13/2007,D,A
0.707602,12/31/2007,A,A
0.707602,6/30/2000,A,A
0.707602,12/15/1999,D,A
0.707602,6/30/1995,A,A
0.707602,12/31/1999,A,A
0.707602,12/31/1996,B,B
0.707602,6/30/1997,B,A
0.707602,12/31/1997,C,A
0.707602,6/30/1998,C,A
0.707602,12/31/1995,F,A
0.707602,12/31/1998,B,B
0.707602,6/30/1999,B,A
0.708577,12/31/2006,A,B
0.708577,6/30/2007,F,A
0.708577,9/30/2007,D,A
0.708577,12/13/2007,B,A
0.708577,12/31/2007,D,A
0.708577,6/30/2000,B,A
0.708577,12/15/1999,A,A
0.708577,6/30/1995,B,A
0.708577,12/31/1999,A,A
0.708577,12/31/1996,C,A
0.708577,6/30/1997,B,B
0.708577,12/31/1997,D,A
0.708577,6/30/1998,A,A
0.708577,12/31/1995,B,A
0.708577,12/31/1998,F,A
0.708577,6/30/1999,B,A
0.710526,12/31/2006,B,A
0.710526,6/30/2007,A,A
0.710526,9/30/2007,A,B
0.710526,12/13/2007,A,B
0.710526,12/31/2007,A,A
0.710526,6/30/2000,A,B
0.710526,12/15/1999,A,B
0.710526,6/30/1995,A,B
0.710526,12/31/1999,A,A
0.710526,12/31/1996,A,A
0.710526,6/30/1997,A,B
0.710526,12/31/1997,A,A
0.710526,6/30/1998,A,B
0.710526,12/31/1995,A,A
0.710526,12/31/1998,B,A
0.710526,6/30/1999,B,B
0.711501,12/31/2006,B,A
0.711501,6/30/2007,A,A
0.711501,9/30/2007,C,A
0.711501,12/13/2007,B,A
0.711501,12/31/2007,A,A
0.711501,6/30/2000,A,A
0.711501,12/15/1999,A,A
0.711501,6/30/1995,A,A
0.711501,12/31/1999,A,B
0.711501,12/31/1996,A,A
0.711501,6/30/1997,A,A
0.711501,12/31/1997,A,A
0.711501,6/30/1998,A,A
0.711501,12/31/1995,A,A
0.711501,12/31/1998,A,B
0.711501,6/30/1999,A,A
0.712476,12/31/2006,C,A
0.712476,6/30/2007,C,A
0.712476,9/30/2007,F,A
0.712476,12/13/2007,C,A
0.712476,12/31/2007,C,C
0.712476,6/30/2000,B,A
0.712476,12/15/1999,A,A
0.712476,6/30/1995,A,A
0.712476,12/31/1999,A,B
0.712476,12/31/1996,A,A
0.712476,6/30/1997,A,A
0.712476,12/31/1997,A,A
0.712476,6/30/1998,D,A
0.712476,12/31/1995,A,A
0.712476,12/31/1998,D,B
0.712476,6/30/1999,A,A
0.71345,12/31/2006,B,B
0.71345,6/30/2007,B,A
0.71345,9/30/2007,B,A
0.71345,12/13/2007,A,A
0.71345,12/31/2007,A,A
0.71345,6/30/2000,A,A
0.71345,12/15/1999,A,A
0.71345,6/30/1995,B,B
0.71345,12/31/1999,B,A
0.71345,12/31/1996,A,A
0.71345,6/30/1997,B,A
0.71345,12/31/1997,A,A
0.71345,6/30/1998,A,A
0.71345,12/31/1995,A,A
0.71345,12/31/1998,A,A
0.71345,6/30/1999,A,A
0.977583,12/31/2006,B,A
0.977583,6/30/2007,A,A
0.977583,9/30/2007,A,A
0.977583,12/13/2007,A,A
0.977583,12/31/2007,A,A
0.977583,6/30/2000,A,A
0.977583,12/15/1999,A,A
0.977583,6/30/1995,A,A
0.977583,12/31/1999,A,A
0.977583,12/31/1996,C,A
0.977583,6/30/1997,D,A
0.977583,12/31/1997,D,A
0.977583,6/30/1998,D,A
0.977583,12/31/1995,B,A
0.977583,12/31/1998,B,A
0.977583,6/30/1999,D,A
0.980507,12/31/2006,D,A
0.980507,6/30/2007,B,A
