@relation 'MassHousingTrainData-weka.filters.unsupervised.attribute.Remove-R9,10,20-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AddClassification-classification-distribution-error-Wweka.classifiers.lazy.IBk -K 7 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"-weka.filters.unsupervised.attribute.Remove-R2-6,9-17,19-last'

@attribute rm_key numeric
@attribute Stmt_date {6/30/1995,12/31/1995,12/31/1996,6/30/1997,12/31/1997,6/30/1998,12/31/1998,6/30/1999,12/15/1999,12/31/1999,6/30/2000,12/31/2000,6/30/2001,12/13/2001,12/31/2001,6/30/2002,12/31/2002,6/30/2003,9/30/2003,12/31/2003,6/30/2004,9/30/2004,12/13/2004,12/31/2004,6/30/2005,9/30/2005,12/31/2005,6/30/2006,9/30/2006,12/31/2006,6/30/2007,9/30/2007,12/13/2007,12/31/2007,6/30/2008,9/30/2008,12/31/2008,2/28/2009,6/30/2009,8/31/2009,9/30/2009,12/31/2009}
@attribute 'Financial Rating Letter Grade' {A,B,D,C,F}
@attribute classification {A,B,D,C,F}

@data
0.980507,9/30/2007,B,A
0.980507,12/13/2007,F,A
0.980507,12/31/2007,F,A
0.980507,6/30/2000,A,A
0.980507,12/15/1999,A,A
0.980507,6/30/1995,A,A
0.980507,12/31/1999,A,A
0.980507,12/31/1996,A,A
0.980507,6/30/1997,A,A
0.980507,12/31/1997,A,A
0.980507,6/30/1998,A,A
0.980507,12/31/1995,A,B
0.980507,12/31/1998,A,A
0.980507,6/30/1999,A,A
0.981481,12/31/2006,F,A
0.981481,6/30/2007,B,B
0.981481,9/30/2007,D,B
0.981481,12/13/2007,C,B
0.981481,12/31/2007,F,A
0.981481,6/30/2000,A,B
0.981481,12/15/1999,A,B
0.981481,6/30/1995,A,B
0.981481,12/31/1999,A,B
0.981481,12/31/1996,A,A
0.981481,6/30/1997,A,B
0.981481,12/31/1997,A,A
0.981481,6/30/1998,A,B
0.981481,12/31/1995,A,A
0.981481,12/31/1998,A,A
0.981481,6/30/1999,A,A
0.993177,6/30/2008,F,A
0.993177,6/30/2007,F,A
0.993177,9/30/2007,F,A
0.993177,9/30/2008,F,A
0.993177,12/31/2008,F,A
0.993177,2/28/2009,F,A
0.993177,6/30/2009,B,A
0.993177,8/31/2009,A,A
0.993177,9/30/2009,A,A
0.993177,12/31/2009,A,A
0.993177,12/31/2000,A,A
0.993177,6/30/2001,A,A
0.993177,12/13/2001,A,A
0.993177,12/31/2001,A,A
0.993177,6/30/2002,A,A
0.993177,12/31/2002,A,A
0.996101,12/31/2006,A,A
0.996101,6/30/2007,A,A
0.996101,9/30/2007,A,A
0.996101,12/13/2007,A,A
0.996101,12/31/2007,A,A
0.996101,6/30/2000,A,A
0.996101,12/15/1999,A,A
0.996101,6/30/1995,A,A
0.996101,12/31/1999,A,A
0.996101,12/31/1996,A,A
0.996101,6/30/1997,A,A
0.996101,12/31/1997,A,A
0.996101,6/30/1998,A,A
0.996101,12/31/1995,A,A
0.996101,12/31/1998,A,A
0.996101,6/30/1999,A,A
0.997076,12/31/2006,D,A
0.997076,6/30/2007,C,A
0.997076,9/30/2007,C,A
0.997076,12/13/2007,F,A
0.997076,12/31/2007,F,A
0.997076,6/30/2000,F,A
0.997076,12/15/1999,F,A
0.997076,6/30/1995,F,A
0.997076,12/31/1999,F,A
0.997076,12/31/1996,A,A
0.997076,6/30/1997,A,A
0.997076,12/31/1997,A,A
0.997076,6/30/1998,A,A
0.997076,12/31/1995,A,A
0.997076,12/31/1998,A,A
0.997076,6/30/1999,A,A
0.998051,12/31/2006,D,A
0.998051,6/30/2007,B,B
0.998051,9/30/2007,F,B
0.998051,12/13/2007,D,B
0.998051,12/31/2007,A,A
0.998051,6/30/2000,D,B
0.998051,12/15/1999,D,B
0.998051,6/30/1995,D,B
0.998051,12/31/1999,F,A
0.998051,12/31/1996,F,A
0.998051,6/30/1997,F,B
0.998051,12/31/1997,A,A
0.998051,6/30/1998,A,B
0.998051,12/31/1995,B,A
0.998051,12/31/1998,A,A
0.998051,6/30/1999,A,B
0.999025,12/31/2006,B,A
0.999025,6/30/2007,C,A
0.999025,9/30/2007,B,A
0.999025,12/13/2007,C,A
0.999025,12/31/2007,F,A
0.999025,6/30/2000,F,A
0.999025,12/15/1999,F,A
0.999025,6/30/1995,F,A
0.999025,12/31/1999,F,A
0.999025,12/31/1996,F,A
0.999025,6/30/1997,F,A
0.999025,12/31/1997,F,A
0.999025,6/30/1998,F,A
0.999025,12/31/1995,F,A
0.999025,12/31/1998,F,A
0.999025,6/30/1999,F,A
1,12/31/2006,B,A
1,6/30/2007,A,A
1,9/30/2007,A,A
1,12/13/2007,A,A
1,12/31/2007,A,A
1,6/30/2000,A,A
1,12/15/1999,A,A
1,6/30/1995,A,A
1,12/31/1999,A,A
1,12/31/1996,A,A
1,6/30/1997,A,A
1,12/31/1997,C,A
1,6/30/1998,A,A
1,12/31/1995,A,A
1,12/31/1998,A,A
1,6/30/1999,A,A
